package,version,dependency,source,detected_license,license_files,license_sha256,package_url
share_plus_platform_interface,6.1.0,transitive,hosted,BSD-3-Clause,LICENSE,3b38d48befd0af70b892e13d10c9e34679416c24a9277f962629951c64d71f4c,https://pub.dev/packages/share_plus_platform_interface
sky_engine,0.0.0,transitive,sdk,Apache-2.0,LICENSE,82a5f93f918f99ff82af18c8be176c709dc812cb3f5e1e1cd93847bdeb0f9369,
source_span,1.10.2,transitive,hosted,BSD-3-Clause,LICENSE,3c32b53167c7dae9190c38dab5dd9fe1789c53623ebc7d1babcb29914c5b3f16,https://pub.dev/packages/source_span
stack_trace,1.12.1,transitive,hosted,BSD-3-Clause,LICENSE,ff0b91d4f3c32b25cb6ec84985e8da89b0ba2a2b2f7eef353cda5e5423a20390,https://pub.dev/packages/stack_trace
stream_channel,2.1.4,transitive,hosted,BSD-3-Clause,LICENSE,ff15faa32a2e638107b7789592b14426162a75ba620044ee2340a20ec6ce5e73,https://pub.dev/packages/stream_channel
string_scanner,1.4.1,transitive,hosted,BSD-3-Clause,LICENSE,3c32b53167c7dae9190c38dab5dd9fe1789c53623ebc7d1babcb29914c5b3f16,https://pub.dev/packages/string_scanner
term_glyph,1.2.2,transitive,hosted,BSD-3-Clause,LICENSE,ea97a7558a7bd7cee4e2355f7529e3cbebb0dcbb546ddb9a90f10c9eb6b08da5,https://pub.dev/packages/term_glyph
test_api,0.7.11,transitive,hosted,BSD-3-Clause,LICENSE,ff1b9f0df9036c04be424b1e3ce12789bea880ad5ffc3a48e069ae2d40a087a4,https://pub.dev/packages/test_api
typed_data,1.4.0,transitive,hosted,BSD-3-Clause,LICENSE,ff15faa32a2e638107b7789592b14426162a75ba620044ee2340a20ec6ce5e73,https://pub.dev/packages/typed_data
url_launcher_linux,3.2.2,transitive,hosted,BSD-3-Clause,LICENSE,420f7739f169097f0aad1242045169cd643c8f1d94e62866fad265ae4c369b7d,https://pub.dev/packages/url_launcher_linux
url_launcher_platform_interface,2.3.2,transitive,hosted,BSD-3-Clause,LICENSE,89519eca6f7b9529b35bdddd623a58c3af06a88c458dbd6531ddb4675acf75a9,https://pub.dev/packages/url_launcher_platform_interface
url_launcher_web,2.4.3,transitive,hosted,BSD-3-Clause,LICENSE,420f7739f169097f0aad1242045169cd643c8f1d94e62866fad265ae4c369b7d,https://pub.dev/packages/url_launcher_web
url_launcher_windows,3.1.5,transitive,hosted,BSD-3-Clause,LICENSE,420f7739f169097f0aad1242045169cd643c8f1d94e62866fad265ae4c369b7d,https://pub.dev/packages/url_launcher_windows
uuid,4.5.3,transitive,hosted,MIT,LICENSE,ad3e5523e51004e94ba9ce728805b1b4242dbccdb65e62b523800e35a8a7cfdc,https://pub.dev/packages/uuid
vector_math,2.2.0,transitive,hosted,BSD-3-Clause,LICENSE,b5d856a1e27e9ebea4957fc3526f1c65782a04894b113c6b3b0fb1321dbdec55,https://pub.dev/packages/vector_math
vm_service,15.2.0,transitive,hosted,BSD-3-Clause,LICENSE,ad6a71997da90924b2cfb1fb47ec46537f70faf469efe016168794ae45ed6888,https://pub.dev/packages/vm_service
web,1.1.1,transitive,hosted,BSD-3-Clause,LICENSE,aa913ff50d7542eb8cc35b9f48a80928ac6819ba9057f85d424655e3e8dc271c,https://pub.dev/packages/web
win32,5.15.0,transitive,hosted,BSD-3-Clause,LICENSE,87ef8bccdd619f2345ba5b9026cf1d6cccb305e36ab83849a8a3af9293abde7e,https://pub.dev/packages/win32
xdg_directories,1.1.0,transitive,hosted,BSD-3-Clause,LICENSE,89519eca6f7b9529b35bdddd623a58c3af06a88c458dbd6531ddb4675acf75a9,https://pub.dev/packages/xdg_directories
xml,6.6.1,transitive,hosted,MIT,LICENSE,1f18a2e5a5c57381d93efa92df86477eb1205689b345417c90fcfdc09fa4fa1f,https://pub.dev/packages/xml
yaml,3.1.3,transitive,hosted,MIT,LICENSE,d47b93335401b052d79a2f5a3710e4cf7b5aed782faedf84d40fbdd6eb934ec7,https://pub.dev/packages/yaml
