path,family,extension,size_bytes,sha256,policy_status,evidence_files,is_evidence_file,required_action
assets/data/abilities.json,assets/data,.json,40246,3612e529a91b4979f8e98e8cfcb997be6d4de2123bf6b31c155fe94ad407277f,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_001_010.json,assets/data,.json,2096,1955a51558569d6ea1b0260f0ce15a68651ea9b11dbe1b5af8a376249df2ff26,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_011_020.json,assets/data,.json,2462,e5f789979c13c11bef0df85d4da704257b7fc75c6ce3403ff313099974b06e14,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_021_030.json,assets/data,.json,1799,36097c0ae6b27e506d2bcafce3b4613cb74b135179f9bcf16c0c12667a22bfd3,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_031_040.json,assets/data,.json,2938,289445ef5e48a2e3a924fa339b12d16014deb649d3372b0374fcadfa92680608,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_041_050.json,assets/data,.json,2300,5c27a87208174caabb353723a6b703df747a4fe3976551709225f1d699ba3d0c,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_051_060.json,assets/data,.json,2326,372485f9c33ba2ce7462471beef46ee227877fd380666906eba21143d2916560,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_061_069.json,assets/data,.json,1960,7f037d8a2f442036f70fbb0b66618e92fff83388473d7ac315af9c7700f28b29,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_070_070.json,assets/data,.json,404,a0418a1667df4be15755f80740c388a0055c6c411b03ac6f00fcdc7fce3a3715,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_071_080.json,assets/data,.json,2400,3714971eebe2c814c2812a725705ddef334a5f67d49a244249b045bf4ac6cf44,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_081_090.json,assets/data,.json,2983,9e1ebfbb7dd9d37d70159fdc1d1a02285efc87520fa996c99a2e1c42367446b0,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_091_100.json,assets/data,.json,1860,3e4b408aa0cacb450f0b6e278a4f08a7a0658426bb68ae15ef9a8f718885be30,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_101_110.json,assets/data,.json,2523,ef27a49b099e9ad35dd52c8739b90817aa85c6e53857709171040982a152163a,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_111_120.json,assets/data,.json,2269,51e5e7584691a5406247cd03db8e8da6716c75d190cfa4d82a9ee4fd1e1afd43,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_121_128.json,assets/data,.json,1739,11c1dd903118eb67e556d771d9ecc2817ede05cbcc53b959154dc5901f95c963,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_129_130.json,assets/data,.json,446,e29466a1eaa0981c6d6ef8e44c11189fc779687bc94d6e5be97cac71f2ca3d78,mixed,,false,Source and redistribution terms must be linked file by file.
assets/data/ability_localization_it_131_140.json,assets/data,.json,1660,a90bf735764b4ec41c35232dbf7ec5044eecfc33b70f326514d8b0ea178b88ca,mixed,,false,Source and redistribution terms must be linked file by file.
