png_path,webp_path,width,height,png_bytes,webp_bytes,saved_bytes,saving_percent,pixel_sha256,batch
assets/textures/textures_webapp/pokemon/appletun/main-shiny.png,assets/textures/textures_webapp/pokemon/appletun/main-shiny.webp,475,475,150790,79792,70998,47.0840,a1d027a48f3ad59d0a579ac651d5f7ab0f8de3641f474aa95371bbb981f7b50c,batch-3
assets/textures/textures_webapp/pokemon/araquanid/main-shiny.png,assets/textures/textures_webapp/pokemon/araquanid/main-shiny.webp,475,475,174139,102804,71335,40.9644,a7c9004e6147589b7f92b56984c22c22ddc89f8dc46c859dbcf698ee547e06da,batch-3
assets/textures/textures_webapp/pokemon/arbok/main-shiny.png,assets/textures/textures_webapp/pokemon/arbok/main-shiny.webp,475,475,210459,128824,81635,38.7890,c7b5218d1b80613b0dc4f297a539a3f3247f2bb5d3b208e7d7ede10f1ab7c706,batch-2
assets/textures/textures_webapp/pokemon/arbok/main.png,assets/textures/textures_webapp/pokemon/arbok/main.webp,475,475,181492,108656,72836,40.1318,732c849a54e470d928dc25da3d68d41d658ad31c9560fe93d94916bae0667887,batch-3
assets/textures/textures_webapp/pokemon/arcanine/main-shiny.png,assets/textures/textures_webapp/pokemon/arcanine/main-shiny.webp,475,475,203843,132220,71623,35.1364,ddb5ada2fe5f995d0f9a273d746c9c488c52321ebd16f407e3039e355aa5f448,batch-3
assets/textures/textures_webapp/pokemon/arcanine/main.png,assets/textures/textures_webapp/pokemon/arcanine/main.webp,475,475,197883,126960,70923,35.8409,4c4f37e697b9ac8894c1da0d2dd23baa8d5585558ffff52b23d9577326f48f29,batch-3
assets/textures/textures_webapp/pokemon/archaludon/main-shiny.png,assets/textures/textures_webapp/pokemon/archaludon/main-shiny.webp,475,475,182115,109036,73079,40.1279,2898eb7d5f533c6f16b94073bef1c018f29f21645c7b1a4c53feae98b39fcc2c,batch-3
assets/textures/textures_webapp/pokemon/armaldo/main-shiny.png,assets/textures/textures_webapp/pokemon/armaldo/main-shiny.webp,475,475,189946,106200,83746,44.0894,fa8227cb34c866cd65e3e33c9321a31be3a373c9f1690445e0af6b8d757df1a0,batch-2
assets/textures/textures_webapp/pokemon/armaldo/main.png,assets/textures/textures_webapp/pokemon/armaldo/main.webp,475,475,174953,110194,64759,37.0151,aa3bd910cf95997d19570afff42bacbb806f52ed05284dc32ba5edf79473ed36,batch-3
assets/textures/textures_webapp/pokemon/aromatisse/main-shiny.png,assets/textures/textures_webapp/pokemon/aromatisse/main-shiny.webp,475,475,144801,79618,65183,45.0156,ab8da1c06a687fa285c6c5f01ad3fca197dbb6bb6aa87d7bdf7444aa7a0db29b,batch-3
assets/textures/textures_webapp/pokemon/aron/main-shiny.png,assets/textures/textures_webapp/pokemon/aron/main-shiny.webp,475,475,167140,103462,63678,38.0986,ef1d0fb2ec38536710495d11204632b8d68d3cf75815884765a31fac425f968f,batch-3
